500999800486549|INS00071|10|148380.01|I
500999800233565|INS00099|10|1753430.38|A
500999800607688|INS00099|15|56662.87|A
500999800069781|INS00106|10|677986.26|A
500999800820134|INS00106|20|85582.52|A
500999800548808|INS00106|10|339113.44|A
500999800493596|INS00027|1|12736331.54|A
500999800420603|INS00034|3|381414.54|I
500999800607031|INS00004|20|20697.66|A
500999800333208|INS00034|5|99027.66|I
500999800085111|INS00034|10|1545477.82|I
500999800497352|INS00095|1|893980.83|A
500999800502679|INS00082|20|5085.70|I
500999800378957|INS00018|3|418582.47|A
500999800094317|INS00078|1|2316761.24|I
500999800517233|INS00034|3|1379317.75|I
500999800426430|INS00099|10|44378.69|A
500999800075178|INS00046|3|979658.77|I
500999800492385|INS00028|1|362375.62|M
500999800349588|INS00015|10|998028.53|A
500999800424869|INS00034|5|350385.35|I
500999800140566|INS00015|15|720949.71|A
500999800582021|INS00066|37|3462.29|I
500999800227707|INS00035|10|531504.13|I
500999800634074|INS00095|10|39907.39|A
500999800503896|INS00078|1|566473.11|I
500999800330866|INS00066|38|5028.40|I
500999800404582|INS00010|3|138532.59|A
500999800329154|INS00046|3|8530749.36|I
500999800752471|INS00071|3|358949.16|I
500999800338958|INS00015|5|3463291.04|A
500999800227244|INS00046|3|3418679.14|I
500999800616816|INS00095|15|24452.03|A
500999800283744|INS00099|10|417605.02|A
500999800603678|INS00018|3|213555.48|A
500999800538676|INS00004|15|53010.39|A
500999800344171|INS00016|5|2474054.39|A
500999800152896|INS00034|5|2520989.38|I
500999800602827|INS00073|3|1052451.13|I
500999800789289|INS00022|6|348994.45|A
500999800225152|INS00078|1|1250184.06|I
500999800334668|INS00066|5|589.35|I
500999800690908|INS00051|3|365852.30|A
500999800394002|INS00099|3|333062.75|A
500999800111050|INS00054|1|1269427.33|A
500999800524513|INS00106|20|33207.42|A
500999800190726|INS00026|1|951999.11|A
500999800448594|INS00102|3|811631.72|A
500999800401150|INS00078|1|753225.37|I
500999800408449|INS00078|1|275411.57|I
500999800637410|INS00078|1|1591906.12|I
500999800379367|INS00099|10|639106.05|A
500999800234853|INS00035|10|315522.43|I
